tract,NAME,pop19,white19,income19,rent19,bachplus19,state,county,GEOID
000802,"Census Tract 8.02, Suffolk County, Massachusetts",6701,5613,60772,1912,0.6176676793643374,25,025,25025000802
010600,"Census Tract 106, Suffolk County, Massachusetts",3168,3001,89886,2604,0.8154639175257732,25,025,25025010600
040100,"Census Tract 401, Suffolk County, Massachusetts",2442,2358,152917,-666666666,0.7088607594936709,25,025,25025040100
040300,"Census Tract 403, Suffolk County, Massachusetts",4665,4152,140313,1831,0.7926900584795321,25,025,25025040300
050400,"Census Tract 504, Suffolk County, Massachusetts",2284,1136,67045,1606,0.37285491419656785,25,025,25025050400
051000,"Census Tract 510, Suffolk County, Massachusetts",4721,2773,54174,1309,0.23199305756436217,25,025,25025051000
060400,"Census Tract 604, Suffolk County, Massachusetts",5622,5478,135750,1986,0.7304880458407429,25,025,25025060400
060700,"Census Tract 607, Suffolk County, Massachusetts",2557,1410,18179,442,0.08327452364149612,25,025,25025060700
081500,"Census Tract 815, Suffolk County, Massachusetts",2807,2121,36464,1000,0.2582292849035187,25,025,25025081500
090600,"Census Tract 906, Suffolk County, Massachusetts",2740,2244,50117,1401,0.15504322766570605,25,025,25025090600
091500,"Census Tract 915, Suffolk County, Massachusetts",5192,3758,53651,1323,0.20740077588779468,25,025,25025091500
170200,"Census Tract 1702, Suffolk County, Massachusetts",4844,3737,49788,1006,0.18599695585996956,25,025,25025170200
170800,"Census Tract 1708, Suffolk County, Massachusetts",6481,3701,69485,1568,0.17876838235294118,25,025,25025170800
120600,"Census Tract 1206, Suffolk County, Massachusetts",2507,2034,105968,2354,0.7495059288537549,25,025,25025120600
130100,"Census Tract 1301, Suffolk County, Massachusetts",6807,6421,112468,1757,0.6361414065438135,25,025,25025130100
140202,"Census Tract 1402.02, Suffolk County, Massachusetts",6874,4974,77250,1224,0.2957285918659309,25,025,25025140202
160300,"Census Tract 1603, Suffolk County, Massachusetts",2283,1456,52500,1528,0.406850025947068,25,025,25025160300
170100,"Census Tract 1701, Suffolk County, Massachusetts",7935,4928,68470,1431,0.1475876802563646,25,025,25025170100
170300,"Census Tract 1703, Suffolk County, Massachusetts",9417,7272,72721,1572,0.25467562828755114,25,025,25025170300
180200,"Census Tract 1802, Suffolk County, Massachusetts",4330,3991,85179,1251,0.34007852612503775,25,025,25025180200
110501,"Census Tract 1105.01, Suffolk County, Massachusetts",3429,3100,94615,1569,0.5586592178770949,25,025,25025110501
180500,"Census Tract 1805, Suffolk County, Massachusetts",4355,4094,76974,1437,0.3646425366437332,25,025,25025180500
092200,"Census Tract 922, Suffolk County, Massachusetts",3282,2774,71683,1432,0.34514842711564026,25,025,25025092200
091300,"Census Tract 913, Suffolk County, Massachusetts",2676,2058,41020,1164,0.1822139303482587,25,025,25025091300
091700,"Census Tract 917, Suffolk County, Massachusetts",3267,2676,49800,1467,0.20637989366843887,25,025,25025091700
100800,"Census Tract 1008, Suffolk County, Massachusetts",6230,5733,89500,1687,0.49299664628131784,25,025,25025100800
000401,"Census Tract 4.01, Suffolk County, Massachusetts",5696,5159,72739,1589,0.6868489583333334,25,025,25025000401
160101,"Census Tract 1601.01, Suffolk County, Massachusetts",8870,1893,67058,1445,0.13106134371957157,25,025,25025160101
160501,"Census Tract 1605.01, Suffolk County, Massachusetts",5854,1510,50917,1319,0.1776416539050536,25,025,25025160501
160502,"Census Tract 1605.02, Suffolk County, Massachusetts",5105,1672,47689,1255,0.14579606440071557,25,025,25025160502
160601,"Census Tract 1606.01, Suffolk County, Massachusetts",4713,2240,60818,1578,0.23067776456599287,25,025,25025160601
160602,"Census Tract 1606.02, Suffolk County, Massachusetts",5740,2862,63776,1330,0.16795521194348173,25,025,25025160602
170501,"Census Tract 1705.01, Suffolk County, Massachusetts",4117,2561,60179,1750,0.3747560182173064,25,025,25025170501
140105,"Census Tract 1401.05, Suffolk County, Massachusetts",4099,2472,93810,1727,0.3115595075239398,25,025,25025140105
170502,"Census Tract 1705.02, Suffolk County, Massachusetts",2430,2302,63944,1145,0.38639652677279307,25,025,25025170502
170601,"Census Tract 1706.01, Suffolk County, Massachusetts",5530,3201,67230,1320,0.22696897374701672,25,025,25025170601
170701,"Census Tract 1707.01, Suffolk County, Massachusetts",2099,1470,49390,1305,0.278886872353297,25,025,25025170701
020303,"Census Tract 203.03, Suffolk County, Massachusetts",4489,4033,106293,3023,0.7516624040920716,25,025,25025020303
091400,"Census Tract 914, Suffolk County, Massachusetts",3244,2028,45388,1006,0.17775752051048313,25,025,25025091400
000503,"Census Tract 5.03, Suffolk County, Massachusetts",2087,1991,74242,1831,0.8500597371565114,25,025,25025000503
000504,"Census Tract 5.04, Suffolk County, Massachusetts",4959,4543,62148,1670,0.7091643524362534,25,025,25025000504
040401,"Census Tract 404.01, Suffolk County, Massachusetts",2964,2778,120234,1271,0.6018264840182649,25,025,25025040401
040801,"Census Tract 408.01, Suffolk County, Massachusetts",4449,3599,54917,688,0.5331403762662807,25,025,25025040801
050101,"Census Tract 501.01, Suffolk County, Massachusetts",5656,2221,51230,1261,0.2737940026075619,25,025,25025050101
050901,"Census Tract 509.01, Suffolk County, Massachusetts",4587,1436,56141,1617,0.17525464349910125,25,025,25025050901
051101,"Census Tract 511.01, Suffolk County, Massachusetts",7687,3529,69145,1667,0.24437241130920223,25,025,25025051101
060101,"Census Tract 601.01, Suffolk County, Massachusetts",3763,3709,132305,2106,0.7390451275343362,25,025,25025060101
060301,"Census Tract 603.01, Suffolk County, Massachusetts",3737,3537,134792,2224,0.7132844855049378,25,025,25025060301
060501,"Census Tract 605.01, Suffolk County, Massachusetts",4249,4077,137554,1690,0.7724670864338866,25,025,25025060501
061101,"Census Tract 611.01, Suffolk County, Massachusetts",2305,1429,15576,411,0.21730515191545574,25,025,25025061101
070101,"Census Tract 701.01, Suffolk County, Massachusetts",7409,6725,85333,2539,0.6914039553553946,25,025,25025070101
070402,"Census Tract 704.02, Suffolk County, Massachusetts",2701,2501,36333,1294,0.4357492218763895,25,025,25025070402
071101,"Census Tract 711.01, Suffolk County, Massachusetts",3980,3505,73995,1116,0.628955223880597,25,025,25025071101
080401,"Census Tract 804.01, Suffolk County, Massachusetts",3040,1660,18602,714,0.22031166039763567,25,025,25025080401
071201,"Census Tract 712.01, Suffolk County, Massachusetts",3701,2604,55179,586,0.46654545454545454,25,025,25025071201
080601,"Census Tract 806.01, Suffolk County, Massachusetts",4022,3434,17594,624,0.20907617504051865,25,025,25025080601
080801,"Census Tract 808.01, Suffolk County, Massachusetts",4679,2976,20500,596,0.138003136434919,25,025,25025080801
081001,"Census Tract 810.01, Suffolk County, Massachusetts",5005,3917,31917,1314,0.40748663101604277,25,025,25025081001
090901,"Census Tract 909.01, Suffolk County, Massachusetts",3653,2426,25662,2017,0.5647321428571429,25,025,25025090901
091001,"Census Tract 910.01, Suffolk County, Massachusetts",2821,2695,94896,1594,0.6201943388255176,25,025,25025091001
092101,"Census Tract 921.01, Suffolk County, Massachusetts",7321,6560,56149,1460,0.2500902853015529,25,025,25025092101
100603,"Census Tract 1006.03, Suffolk County, Massachusetts",1912,1876,90893,1540,0.5117139334155364,25,025,25025100603
110103,"Census Tract 1101.03, Suffolk County, Massachusetts",6812,5504,87214,1665,0.5036027263875366,25,025,25025110103
110201,"Census Tract 1102.01, Suffolk County, Massachusetts",2534,1655,45250,1115,0.2519402985074627,25,025,25025110201
110301,"Census Tract 1103.01, Suffolk County, Massachusetts",2656,1923,69563,1623,0.42355889724310775,25,025,25025110301
110403,"Census Tract 1104.03, Suffolk County, Massachusetts",4881,3660,100833,1620,0.5180412371134021,25,025,25025110403
120103,"Census Tract 1201.03, Suffolk County, Massachusetts",1852,1714,160341,2196,0.869098712446352,25,025,25025120103
