GEOID,pop,white,income,rent,totaled,bachelors,masters,professional,doctorate
250250301001,1221,1192,71528,1412,1023,561,71,107,15
250250006021,1455,1358,37803,1383,751,172,161,22,47
250250821002,1774,1056,18973,618,914,105,0,0,0
250250602002,1305,1295,94583,2000,1047,462,96,15,0
250250904004,798,517,48354,1168,468,65,57,0,0
250250809002,1739,1637,54739,1553,745,218,91,34,14
250250814003,1256,1204,48750,1412,655,184,215,9,32
250250818003,673,529,27500,1082,391,56,34,0,0
250250903001,855,441,23464,1017,467,14,0,0,0
250251010012,759,716,29432,1062,534,61,0,0,0
250251006013,1177,1041,54437,973,864,89,84,0,0
250251201031,1496,1402,129875,1771,1108,180,454,224,125
250250921013,515,314,61917,1108,394,21,137,0,0
250250203032,1076,934,106471,2001,718,173,82,30,4
250250704021,1656,1594,13693,405,1252,128,47,8,13
250250203012,2227,2199,123949,2001,1923,511,637,317,231
250250201012,907,907,103038,1694,834,376,191,169,64
250251101035,1700,1566,91701,1543,1363,313,337,116,55
250251101032,987,465,46579,1127,635,165,95,0,0
250250603011,1509,1501,54583,1171,1341,395,200,58,16
250250007044,833,588,26761,840,609,229,22,5,27
250250101031,1723,1590,29643,1384,368,139,147,10,42
250250008031,2515,2184,31683,1861,1375,684,300,117,11
250251202012,2279,1233,48690,886,1550,449,213,75,32
250251201043,881,729,68194,1571,776,422,71,94,85
250251106073,1784,1612,73333,1554,1456,381,292,54,69
250251106072,1498,1128,81875,1360,1082,272,342,1,19
250250909012,1894,1636,27300,1793,983,363,184,66,20
250250601012,722,701,96607,1545,532,293,22,10,0
250251010013,774,774,68654,1518,519,25,13,0,0
250251604001,995,286,33707,939,649,54,40,0,0
250251602001,1590,169,51563,1175,911,105,8,5,0
250251704001,1037,774,48816,445,821,114,98,0,11
250250406002,1927,1886,144063,1382,1697,684,462,126,14
250251011012,1266,1132,63281,1670,969,49,33,0,0
250251303002,1281,1227,120909,1321,849,341,180,68,39
250251303003,698,659,125625,-666666666,550,150,173,18,26
250251104033,582,492,95956,777,350,52,77,18,54
250251707012,1380,1010,39609,1210,1061,230,95,0,14
250250102033,1593,1346,38412,1550,1032,395,146,73,78
250250102034,262,244,22670,1403,142,69,22,0,13
250251401024,1833,1514,60956,1754,1167,152,177,30,0
250250608004,1355,1354,81339,1385,1111,501,150,30,31
250250005042,1314,1229,25505,1520,1044,451,222,0,138
250250810012,2495,1930,12417,366,1608,314,68,51,14
250250104041,2143,1973,20517,1622,524,189,150,10,52
250250108011,745,696,102639,1838,439,151,157,53,31
250250005024,2845,2541,-666666666,-666666666,2,0,2,0,0
250250108013,1369,1302,130724,1434,1176,557,425,66,56
250250107023,828,742,112500,1712,744,270,241,77,33
250250102042,1245,1187,31940,1492,392,162,136,15,66
250250108022,1316,1206,109250,2001,988,444,201,158,96
250250921015,2069,1846,45814,1360,1480,127,50,0,0
250250611012,1724,935,15689,343,987,19,27,0,0
250250701012,204,184,-666666666,-666666666,122,9,0,10,0
250250701014,1925,1786,111538,2001,1072,255,370,278,58
250250701017,827,716,9879,2001,493,271,111,46,0
250251601012,2323,567,65484,1106,1452,54,19,42,0
250250605013,780,780,94286,1633,649,368,131,13,20
250250605014,680,680,118889,1491,599,281,111,30,0
250250911003,1133,1081,73281,1074,656,167,61,16,0
250250911004,596,560,90909,1154,416,124,31,20,0
250251004004,1817,1591,39792,1337,1058,51,43,0,7
250251004003,829,771,62745,1273,681,86,83,0,0
250250007013,543,469,43433,1366,355,69,56,14,14
250250105003,947,902,49375,1159,672,238,127,32,28
250250304001,1575,1537,73750,1547,1286,563,213,51,34
250251403004,660,596,36875,-666666666,493,67,80,0,0
250251804001,835,831,65833,1217,600,142,32,19,9
250250107012,1144,1064,148523,2001,956,369,314,137,97
250250104081,1507,1419,65000,1690,1111,514,165,156,122
250251707023,1297,896,24173,1047,708,76,36,0,0
250251707024,1112,262,64018,1618,827,61,0,0,0
250250004022,1003,792,70258,1767,511,124,176,24,5
250251204001,700,700,76429,1166,613,224,88,40,44
250251204004,2358,1949,80121,1869,1780,575,492,215,153
250251402011,1409,738,64375,1179,1017,183,50,12,21
250251005005,1440,932,53849,804,874,36,0,0,0
250259901010,0,0,-666666666,-666666666,0,0,0,0,0
250250806012,755,374,20398,429,388,0,16,0,0
