,TRACTCE
0,070101
1,110403
2,000100
3,000703
4,100200
5,030500
6,101002
7,061101
8,030100
9,060301
10,060600
11,140201
12,981700
13,110502
14,010408
15,020303
16,120104
17,081300
18,110401
19,110201
20,000302
21,092000
22,981600
23,091400
24,080801
25,010500
26,092300
27,030400
28,010802
29,000704
30,130100
31,040100
32,010104
33,091100
34,010403
35,120301
36,060501
37,070800
38,010204
39,080500
40,060700
41,140202
42,060400
43,070200
44,100500
45,020301
46,090901
47,091200
48,091300
49,092101
50,050400
51,140106
52,050300
53,120103
54,000802
55,010600
56,010701
57,060101
58,000402
59,091700
60,000701
61,050200
62,100601
63,081800
64,030200
65,070600
66,082000
67,060200
68,010404
69,101101
70,020302
71,000301
72,070402
73,010203
74,010103
75,140300
76,080601
77,040200
78,120400
79,010405
80,010801
81,030300
82,070300
83,070500
84,130200
85,091001
86,980700
87,000601
88,081200
89,000504
90,101001
91,140105
92,071201
93,080100
94,100900
95,090300
96,130402
97,061000
98,130404
99,090400
100,090100
101,091900
102,050700
103,110601
104,981100
105,110501
106,980300
107,140107
108,060800
109,100100
110,981501
111,981800
112,080300
113,080900
114,081100
115,040401
116,051200
117,081700
118,040300
119,040600
120,061200
121,120700
122,000201
123,101102
124,020101
125,092400
126,100400
127,092200
128,130406
129,000202
130,051000
131,120105
132,040801
133,070900
134,020200
135,100800
136,140102
137,000502
138,000602
139,090600
140,140400
141,081400
142,100700
143,110607
144,981000
145,091800
146,010300
147,050101
148,050901
149,091600
150,980101
151,081001
152,130300
153,981201
154,070700
155,082100
156,050500
157,981202
158,100300
159,120600
160,110301
161,110103
162,081500
163,000401
164,000503
165,051101
166,000803
167,100603
168,990101
169,080401
170,050600
171,091500
172,090700
173,081900
174,120500
175,071101
176,120201
177,010702
178,090200
179,981502
180,981300
