GEOID,income,rent,pct_white,high_ed,gent_index
250250001001,4.0,1.0,4.0,3.0,12.0
250250001002,4.0,3.0,5.0,4.0,16.0
250250001003,5.0,2.0,5.0,5.0,17.0
250250001004,4.0,4.0,5.0,5.0,18.0
250250002011,2.0,4.0,3.0,3.0,12.0
250250002012,5.0,5.0,3.0,4.0,17.0
250250002013,4.0,4.0,4.0,3.0,15.0
250250002014,3.0,3.0,4.0,1.0,11.0
250250002021,5.0,2.0,2.0,2.0,11.0
250250002022,3.0,4.0,4.0,3.0,14.0
250250002023,4.0,2.0,1.0,4.0,11.0
250250002024,1.0,,1.0,3.0,
250250003011,4.0,4.0,1.0,3.0,12.0
250250003012,3.0,5.0,3.0,4.0,15.0
250250003013,5.0,3.0,3.0,1.0,12.0
250250003014,5.0,4.0,5.0,4.0,18.0
250250003021,4.0,4.0,2.0,4.0,14.0
250250003022,3.0,3.0,2.0,3.0,11.0
250250004011,5.0,3.0,4.0,3.0,15.0
250250004012,4.0,2.0,3.0,2.0,11.0
250250004013,5.0,4.0,4.0,5.0,18.0
250250004014,1.0,1.0,3.0,4.0,9.0
250250004021,5.0,1.0,3.0,3.0,12.0
250250004022,4.0,2.0,5.0,3.0,14.0
250250004023,5.0,3.0,1.0,3.0,12.0
250250005021,2.0,1.0,1.0,2.0,6.0
250250005022,5.0,2.0,5.0,4.0,16.0
250250005023,5.0,2.0,3.0,3.0,13.0
250250005024,,,3.0,2.0,
250250005031,3.0,1.0,4.0,2.0,10.0
250250005032,5.0,2.0,4.0,4.0,15.0
250250005041,5.0,2.0,5.0,3.0,15.0
250250005042,5.0,,2.0,2.0,
250250005043,4.0,3.0,4.0,2.0,13.0
250250005044,4.0,1.0,2.0,2.0,9.0
250250006011,5.0,1.0,3.0,2.0,11.0
250250006012,3.0,1.0,3.0,3.0,10.0
250250006013,4.0,2.0,2.0,2.0,10.0
250250006014,3.0,2.0,4.0,4.0,13.0
250250006021,4.0,3.0,2.0,4.0,13.0
250250006022,4.0,4.0,1.0,3.0,12.0
250250006023,4.0,5.0,5.0,3.0,17.0
250250007011,3.0,3.0,2.0,2.0,10.0
250250007012,,,5.0,5.0,
250250007013,5.0,5.0,5.0,4.0,19.0
250250007014,3.0,5.0,3.0,1.0,12.0
250250007015,5.0,4.0,3.0,2.0,14.0
250250007031,5.0,4.0,3.0,3.0,15.0
250250007032,5.0,2.0,2.0,2.0,11.0
250250007041,1.0,2.0,3.0,2.0,8.0
250250007042,3.0,4.0,4.0,4.0,15.0
250250007043,5.0,4.0,4.0,3.0,16.0
250250007044,5.0,5.0,3.0,4.0,17.0
250250008021,4.0,2.0,4.0,1.0,11.0
250250008022,5.0,1.0,5.0,5.0,16.0
250250008023,5.0,2.0,5.0,1.0,13.0
250250008024,5.0,4.0,4.0,4.0,17.0
250250008025,3.0,3.0,3.0,3.0,12.0
250250008031,5.0,3.0,4.0,3.0,15.0
250250008032,,,2.0,1.0,
250250101031,2.0,4.0,2.0,2.0,10.0
250250101032,,,2.0,1.0,
250250101033,,3.0,3.0,1.0,
250250101041,4.0,3.0,3.0,3.0,13.0
250250101042,4.0,3.0,4.0,3.0,14.0
250250101043,5.0,5.0,4.0,3.0,17.0
250250102031,1.0,2.0,1.0,1.0,5.0
250250102032,2.0,3.0,4.0,2.0,11.0
250250102033,5.0,4.0,4.0,3.0,16.0
250250102034,5.0,4.0,1.0,1.0,11.0
250250102041,5.0,4.0,3.0,2.0,14.0
250250102042,5.0,4.0,3.0,2.0,14.0
250250102043,2.0,2.0,3.0,2.0,9.0
250250103001,3.0,,5.0,5.0,
250250103002,3.0,2.0,3.0,3.0,11.0
250250104031,5.0,1.0,1.0,1.0,8.0
250250104032,1.0,5.0,4.0,2.0,12.0
250250104033,3.0,5.0,5.0,3.0,16.0
250250104041,2.0,3.0,4.0,1.0,10.0
250250104042,1.0,2.0,4.0,2.0,9.0
250250104043,5.0,1.0,4.0,3.0,13.0
250250104051,,,3.0,1.0,
250250104052,2.0,3.0,2.0,1.0,8.0
250250104053,3.0,1.0,4.0,3.0,11.0
250250104081,2.0,2.0,2.0,2.0,8.0
250250105001,2.0,3.0,2.0,2.0,9.0
250250105002,,2.0,3.0,2.0,
250250105003,3.0,3.0,1.0,3.0,10.0
250250106001,1.0,4.0,3.0,2.0,10.0
