tract,NAME,pop2020,white2020,income2020,rent2020,state,county,GEOID
000807,"Census Tract 8.07, Suffolk County, Massachusetts",3523,3073,-666666666,-666666666,25,025,25025000807
061202,"Census Tract 612.02, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025061202
070102,"Census Tract 701.02, Suffolk County, Massachusetts",2794,2546,53281,-666666666,25,025,25025070102
070103,"Census Tract 701.03, Suffolk County, Massachusetts",559,422,58872,-666666666,25,025,25025070103
070801,"Census Tract 708.01, Suffolk County, Massachusetts",1020,1010,-666666666,2536,25,025,25025070801
070901,"Census Tract 709.01, Suffolk County, Massachusetts",1350,704,36051,-666666666,25,025,25025070901
081301,"Census Tract 813.01, Suffolk County, Massachusetts",2398,1469,-666666666,591,25,025,25025081301
081302,"Census Tract 813.02, Suffolk County, Massachusetts",2320,879,-666666666,318,25,025,25025081302
130402,"Census Tract 1304.02, Suffolk County, Massachusetts",5646,4984,98102,-666666666,25,025,25025130402
980101,"Census Tract 9801.01, Suffolk County, Massachusetts",434,303,-666666666,-666666666,25,025,25025980101
980300,"Census Tract 9803, Suffolk County, Massachusetts",366,308,-666666666,-666666666,25,025,25025980300
980700,"Census Tract 9807, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025980700
980900,"Census Tract 9809, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025980900
981000,"Census Tract 9810, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025981000
981100,"Census Tract 9811, Suffolk County, Massachusetts",146,103,-666666666,-666666666,25,025,25025981100
981201,"Census Tract 9812.01, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025981201
981202,"Census Tract 9812.02, Suffolk County, Massachusetts",210,195,-666666666,-666666666,25,025,25025981202
981300,"Census Tract 9813, Suffolk County, Massachusetts",5,5,-666666666,-666666666,25,025,25025981300
981501,"Census Tract 9815.01, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025981501
981502,"Census Tract 9815.02, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025981502
981600,"Census Tract 9816, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025981600
981700,"Census Tract 9817, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025981700
981800,"Census Tract 9818, Suffolk County, Massachusetts",33,33,-666666666,-666666666,25,025,25025981800
981900,"Census Tract 9819, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025981900
990101,"Census Tract 9901.01, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025990101
