tract,NAME,pop19,white19,income19,rent19,totaled,bachelors,masters,professional,doctorate,state,county,GEOID
040100,"Census Tract 401, Suffolk County, Massachusetts",2442.0,2358.0,152917.0,-666666666.0,2054.0,864.0,329.0,147.0,116.0,25,025,25025040100
980101,"Census Tract 9801.01, Suffolk County, Massachusetts",457.0,326.0,-666666666.0,-666666666.0,446.0,46.0,6.0,0.0,0.0,25,025,25025980101
980300,"Census Tract 9803, Suffolk County, Massachusetts",380.0,290.0,-666666666.0,-666666666.0,342.0,7.0,0.0,0.0,0.0,25,025,25025980300
980700,"Census Tract 9807, Suffolk County, Massachusetts",0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,25,025,25025980700
981000,"Census Tract 9810, Suffolk County, Massachusetts",0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,25,025,25025981000
981201,"Census Tract 9812.01, Suffolk County, Massachusetts",0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,25,025,25025981201
981202,"Census Tract 9812.02, Suffolk County, Massachusetts",241.0,232.0,-666666666.0,-666666666.0,71.0,37.0,8.0,0.0,0.0,25,025,25025981202
981501,"Census Tract 9815.01, Suffolk County, Massachusetts",0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,25,025,25025981501
981502,"Census Tract 9815.02, Suffolk County, Massachusetts",0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,25,025,25025981502
981600,"Census Tract 9816, Suffolk County, Massachusetts",0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,25,025,25025981600
981700,"Census Tract 9817, Suffolk County, Massachusetts",0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,25,025,25025981700
981800,"Census Tract 9818, Suffolk County, Massachusetts",32.0,32.0,-666666666.0,-666666666.0,26.0,5.0,8.0,10.0,0.0,25,025,25025981800
990101,"Census Tract 9901.01, Suffolk County, Massachusetts",67.0,0.0,-666666666.0,-666666666.0,23.0,0.0,0.0,0.0,0.0,25,025,25025990101
130402,"Census Tract 1304.02, Suffolk County, Massachusetts",4762.0,4275.0,73039.0,-666666666.0,3750.0,878.0,587.0,295.0,85.0,25,025,25025130402
